,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sechura,-5.56,-80.82,77.58,68,94,6.11,PE,1585854438
1,Matagami,49.75,-77.63,39.2,64,75,10.29,CA,1585854152
2,Puerto Ayora,-0.74,-90.35,84.2,70,20,11.41,EC,1585854205
3,Plaine Magnien,-20.43,57.65,78.8,88,75,6.69,MU,1585854438
4,Butaritari,3.07,172.79,82.94,76,59,8.7,KI,1585854438
5,Broome,42.25,-75.83,44.6,48,40,14.99,US,1585854438
6,Kapaa,22.08,-159.32,73.99,88,20,3.36,US,1585854438
7,Lebu,-37.62,-73.65,64.53,52,0,19.62,CL,1585854438
8,Chokurdakh,70.63,147.92,-7.22,91,96,6.78,RU,1585854438
9,Kisangani,0.52,25.2,83.48,56,98,1.28,CD,1585854439
10,Dauphin,51.15,-100.05,14.0,72,1,12.75,CA,1585854439
11,Gornopravdinsk,60.05,69.9,25.39,95,79,10.25,RU,1585854439
12,Petropavlovsk-Kamchatskiy,53.05,158.65,33.8,74,75,11.18,RU,1585854439
13,Nouadhibou,20.93,-17.03,68.0,82,87,18.34,MR,1585854439
14,Dikson,73.51,80.55,18.09,93,100,27.89,RU,1585854439
15,Bluff,-46.6,168.33,53.01,95,49,3.0,NZ,1585854439
16,Hithadhoo,-0.6,73.08,84.65,71,38,5.37,MV,1585854439
17,Port Alfred,-33.59,26.89,66.99,80,12,5.01,ZA,1585854439
18,Tiksi,71.69,128.87,-5.6,89,84,2.46,RU,1585854439
19,Porto Belo,-27.16,-48.55,82.99,83,100,6.93,BR,1585854439
20,Copala,16.65,-98.98,86.04,46,1,9.82,MX,1585854439
21,Rikitea,-23.12,-134.97,77.18,72,6,5.46,PF,1585854439
22,Portland,45.52,-122.68,50.0,70,75,3.69,US,1585854152
23,Jamestown,42.1,-79.24,51.8,48,40,14.99,US,1585854439
24,Punta Arenas,-53.15,-70.92,62.6,48,96,19.46,CL,1585854311
25,Rawson,-43.3,-65.1,69.71,31,0,9.86,AR,1585854440
26,Taoudenni,22.68,-3.98,97.38,9,100,8.41,ML,1585854440
27,Klaksvík,62.23,-6.59,32.0,84,99,21.92,FO,1585854200
28,Ximeicun,24.96,118.38,60.8,93,40,2.24,CN,1585854440
29,Mataura,-46.19,168.86,53.01,95,61,3.0,NZ,1585854440
30,Vaini,-21.2,-175.2,73.4,94,90,10.07,TO,1585854196
31,Ilulissat,69.22,-51.1,1.4,59,20,5.82,GL,1585854440
32,Olympia,47.04,-122.9,48.99,78,75,9.17,US,1585854431
33,Provideniya,64.38,-173.3,20.14,95,99,6.02,RU,1585854440
34,Mashhad,36.3,59.61,59.0,54,20,9.17,IR,1585854432
35,Cape Town,-33.93,18.42,68.0,77,0,10.29,ZA,1585854140
36,Beringovskiy,63.05,179.32,27.91,98,100,17.4,RU,1585854440
37,Khatanga,71.97,102.5,10.44,90,80,19.86,RU,1585854440
38,Dingle,11.0,122.67,78.13,83,7,8.79,PH,1585854440
39,Longyearbyen,78.22,15.64,-2.2,77,75,5.82,SJ,1585854440
40,Obo,5.4,26.49,73.56,62,96,2.98,CF,1585854440
41,Gobabis,-22.45,18.97,64.4,88,68,18.34,NA,1585854441
42,Saint-Philippe,-21.36,55.77,77.0,88,30,8.05,RE,1585854441
43,Aklavik,68.22,-135.01,10.4,46,5,16.11,CA,1585854441
44,Hobart,-42.88,147.33,60.8,67,40,14.99,AU,1585854441
45,Aparecida do Taboado,-20.09,-51.09,87.51,54,61,6.64,BR,1585854441
46,Omiš,43.44,16.69,48.2,42,0,3.36,HR,1585854441
47,Northam,51.03,-4.22,51.8,76,75,9.17,GB,1585854441
48,Khovd,48.01,91.64,29.25,43,0,4.97,MN,1585854441
49,Pisco,-13.7,-76.22,80.01,30,35,8.05,PE,1585854441
50,Capreol,46.71,-80.92,44.6,39,5,10.29,CA,1585854441
51,Norman Wells,65.28,-126.83,8.6,46,5,29.97,CA,1585854441
52,Sorong,-0.88,131.25,77.49,85,100,4.54,ID,1585854441
53,Barrow,71.29,-156.79,6.8,84,1,12.75,US,1585854302
54,Mahébourg,-20.41,57.7,78.8,88,75,7.07,MU,1585854442
55,Kawalu,-7.38,108.21,74.34,83,100,2.08,ID,1585854443
56,Houma,29.6,-90.72,79.0,47,40,9.17,US,1585854312
57,Fortuna,40.6,-124.16,54.0,61,1,12.75,US,1585854443
58,Inyonga,-6.72,32.07,68.74,65,100,2.89,TZ,1585854443
59,Thompson,55.74,-97.86,32.0,94,90,8.05,CA,1585854186
60,Ushuaia,-54.8,-68.3,55.13,68,73,12.15,AR,1585854261
61,Ingham,42.6,-84.38,59.0,28,1,8.05,US,1585854443
62,Torbay,47.67,-52.73,42.01,100,90,14.99,CA,1585854316
